단어	소속	세부소속	예문 1	변형 단어	예문 2	변형 단어	예문 3	변형 단어																	
눈에 혈액이 몰려 눈이 튀어나올 듯하다	화나다	화나다	그가 나에게 거짓말을 했다는 사실을 알게 되자 나의 눈에는 혈액이 몰려 튀어나올 듯했다.	눈에는 혈액이 몰려 튀어나올 듯했다	회의 중에 무례한 발언을 듣고, 갑자기 눈에 혈액이 몰려 눈이 튀어나올 듯한 느낌이었다.	눈에 혈액이 몰려 눈이 튀어나올 듯한	누군가 내 차를 긁고 도망간 것을 보고, 눈에 혈액이 몰려 눈이 튀어나올 듯 화가 났다.	눈에 혈액이 몰려 눈이 튀어나올 듯																	
두피와 얼굴, 눈이 붉어진다	화나다	화나다	길거리에서 불의를 목격하고, 내 얼굴과 두피가 붉어지며 화가 났다.	두피가 붉어지며	아이가 또 장난감을 부쉈을 때, 나는 두피와 얼굴, 눈이 붉어지며 화를 참지 못했다.	두피와 얼굴, 눈이 붉어지며	중요한 프로젝트가 실패로 돌아가자, 나의 두피와 얼굴, 눈이 붉어지며 화가 솟구쳤다.	두피와 얼굴, 눈이 붉어지며																	
눈을 가늘게 뜨다	화나다	불쾌하다, 짜증내다	버스 안에서 사람들이 크게 소리를 내며 대화하는 것을 듣고 불쾌해져 눈을 가늘게 떴다.	눈을 가늘게 떴다	직장에서 계속되는 잔소리에 짜증이 나서, 나도 모르게 눈을 가늘게 뜨고 말았다.	눈을 가늘게 뜨고	늦은 밤 음악 소리에 잠에서 깨어나자, 불쾌함을 감추지 못하고 눈을 가늘게 떴다.	눈을 가늘게 떴다																	
윗입술을 들어 올려 이를 보이다	화나다	화나다	동료의 부당한 요구에 화가 나 윗입술을 들어 올려 이를 보였다.	윗입술을 들어 올려 이를 보였다	아이가 고의로 장난을 칠 때, 화가 나서 윗입술을 들어 올려 이를 보였다.	윗입술을 들어 올려 이를 보였다	경쟁자의 도발에 화가 나서 윗입술을 들어 올려 이를 보이며 대응했다.	윗입술을 들어 올려 이를 보이며																	
입을 크게 벌려 큰 소리를 낸다	화나다	화나다	집에서 소중한 물건을 잃어버리고 화가 나 입을 크게 벌려 소리쳤다.	입을 크게 벌려	입을 크게 벌려 소리치며, 말도 안 되는 그 사실에 반박했다.	입을 크게 벌려 소리치며	아이가 또 다시 규칙을 어기자, 화가 나 입을 크게 벌려 꾸짖었다.	입을 크게 벌려 꾸짖었다																	
윗입술을 좌우로 당겨 이를 드러낸다	화나다	화나다	경기에서 부정행위를 목격하고 화가 나 윗입술을 좌우로 당겨 이를 드러냈다.	윗입술을 좌우로 당겨 이를 드러냈다	아이는 엄마의 꾸증에 아무 대꾸는 하지 않고, 씩씩 거리며 조용히 이를 드러냈다.	이를 드러냈다.	코를 찡긋거리며 이를 드러내고 있다. 상사의 불합리한 지시에 짜증이 나 보였다.	이를 드러내고																	
입을 굳게 다문 채 숨을 거칠게 내쉰다	화나다	화나다, 불쾌하다, 짜증내다	사실 반박할 말은 없었다. 그러나 화는 났다. 입을 굳게 다문 채 숨을 거칠게 내쉴 뿐이었다.	입을 굳게 다문 채 숨을 거칠게 내쉴 뿐이었다.	거칠게 씩씩 숨을 내쉬며 불쾌함을 보이는 그녀의 모습은 짐승 같았다.	거칠게 씩씩 숨을 내쉬며	짜증나는 일에 휘말린 그는 입을 굳게 다문 채 거칠게 숨을 내쉬며 짜증을 내고 있었다.	입을 굳게 다문 채 거칠게 숨을 내쉬며																	
목이 멘다.	싫다	짜증내다	그 사실을 들은 나는 짜증이 나지 않을 수 없었다. 속에서 무언가 끓어 올랐고 목이 멨다.	목이 멨다.	그 사람의 무례한 태도에 짜증이 나서 목소리가 점점 거칠어졌고 이내 목이 메였다.	목이 메였다	너무 소리를 많이 지른 탓일까. 감정이 벅차올라서일까. 나중에야 목이 멘 사실을 발견했다.	목이 멘																	
흥분한 채 목소리가 높아진다	화나다	화나다	그의 무책임한 대답에 화가 나서 목소리가 점점 높아졌다.	목소리가 점점 높아졌다	회의 중에 의견 충돌로 서로 흥분하며 목소리를 높였다.	흥분하며 목소리를 높였다	아이한테는 그래서는 안 됐는데, 지나친 장난에 순간 화가 나 목소리를 높였어.	화가 나 목소리를 높였어.																	
격렬하게 숨을 내쉰다	화나다	화나다	그녀의 방해 행위에 격렬하게 숨을 내쉬며 화를 참았다.	격렬하게 숨을 내쉬며	논쟁이 격화되자, 그는 열변을 토하는 사이사이에 격렬하게 숨을 내쉬었다.	격렬하게 숨을 내쉬었다.	아버지의 격렬한 숨소리는 누가보다 화나보였다.	격렬한 숨소리																	
목소리를 높인다	화나다	화나다, 불쾌하다, 짜증내다	사람들이 계속 시끄러워서 짜증이 나 목소리를 높였다.	목소리를 높였다	불편한 진실을 말하는 그의 목소리는 점점 높아졌다.	목소리는 점점 높아졌다.	사소한 주차 문제가 그 이웃과의 갈등 시작이었다. 결국 목소리를 높여 언쟁까지 하였다.	목소리를 높여																	
손을 들어 위협적인 자세를 취한다	화나다	화나다	상대방의 도발에 화가 나 손을 들어 위협했다.	손을 들어 위협했다	그는 결국 한 때 가장 소중히 여겼던 민지에게 손을 들어 위협까지 하게 되었다.	손을 들어 위협	가장 친했던 둘은 결국 손을 들고 서로를 위협했다. 그들의 우정에 금이 간 순간이었다.	손을 들고 서로를 위협했다																	
주먹을 굳게 쥔다	화나다	화나다	치밀어 오르는 분노를 참지 못하고 주먹을 굳게 쥐었다.	주먹을 굳게 쥐었다	혼나는 상황이 억울했지만, 할 수 있는 건 없었다. 그저 주먹을 굳게 쥐며 잔소리가 끝나길 바랐다.	주먹을 굳게 쥐며	그녀가 그의 뜻대로 되지 않자 그는 주먹을 굳게 쥐었다.	주먹을 굳게 쥐었다.																	
상대를 강하게 밀친다	화나다	화나다	결국 민수는 현태를 강하게 밀쳤다. 말싸움이 몸싸움으로 번지는 순간이었다.	강하게 밀쳤다.	그는 분노에 휩싸여 상대를 강하게 밀쳤다.	상대를 강하게 밀쳤다	그녀는 경민을 강하게 밀치며, 꺼지라고 소리쳤다.	강하게 밀치며																	
강하게 몸부림친다	화나다	화나다	그 아이는 편식이 심했다. 다가오는 숟가락을 피해 강하게 몸부림쳤다.	강하게 몸부림쳤다	그는 자신의 무력함에 화가 나 강하게 몸부림쳤다.	강하게 몸부림쳤다	격해진 분노에 냅다 누워서 강하게 몸부림쳤다. 하지만 달라지는 건 없었다.	누워서 강하게 몸부림쳤다.																	
짐승처럼 상대에게 돌진한다	화나다	화나다	무려 10년 동안 몰랐던 사실을 알게 되었을 때, 치밀어 오르는 화에 당장 그에게 돌진했다.	당장 그에게 돌진했다.	그는 분노를 참지 못하고 상대에게 짐승처럼 돌진했다.	상대에게 짐승처럼 돌진했다	대화가 격해지다가 그녀는 사람이 아닌 이성이 없는 한 마리의 짐승처럼 상대에게 돌진했다.	한 마리의 짐승처럼 상대에게 돌진했다.																	
팔짱을 끼다	화나다	불쾌하다	점장님은 인상을 찡그리고, 팔짱을 끼고 있었다. 그제야 나는 내 실수를 깨달았다.	팔짱을 끼고 있었다.	회의 중에 불합리한 요구를 듣고, 그는 팔짱을 끼며 불쾌한 표정을 지었다.	팔짱을 끼며	팔짱을 끼는 것은 상대의 의사를 듣지 않겠다는 굳은 결심이자 표현이다.	팔짱을 끼는 것																	
