	분류	소속	예문 1	변형 단어	예문 2	변형 단어	예문 3	변형 단어																	
차갑게 대하다	화나다	증오하다	그는 나에게 차갑게 대했다. 아직도 그 일로 화가 난 것처럼 보였다.	차갑게 대했다.	옛날과 다른 차가운 태도에 나 걱정 돼	차가운 태도	회사 일 때문에 짜증이 나서, 상사의 물음에 차갑게 대답했다.	차갑게																	
속이 끓어오르다	화나다	증오하다	나를 배신한 그녀를 보니 속이 끓어오르며, 증오감을 느꼈다.	속이 끓어오르며	내 딸이지만 저렇게 답답하게 행동할 때마다 속이 끓어오른다.	끓어오른다.	부당한 해고가 일어난 지금, 난 속이 끓어올라 화를 참을 수 없었다.	속이 끓어올라																	
고개를 숙이다	슬프다	미안하다	나는 미안한 마음에 고개를 숙일 수밖에 없었다.	숙일 수밖에	법정에 선 피의자는 고개를 푹 숙이며, 미안함을 표했다.	고개를 푹 숙이며,	회사 대표는 청문회에서 고객들에게 공개적으로 고개를 숙여 미안함을 표했다.	고개를 숙여																	
손발이 떨리다	슬프다	미안하다	무의식적으로 나는 손발이 떨림을 느꼈다.	손발이 떨림	음주우전 가해자는 손발을 떨며, 피해자 가족에게 연신 사과했다.	손발을 떨며	그는 무릎을 꿇고 그녀의 손을 꼭 잡은채 미안하다고 했다. 그의 손은 떨리고 있었다.	손은 떨리고 있었다.																	
말을 잃다	슬프다	서운하다	나는 서운한 마음에 말을 잃고 말았다.	말을 잃고	용서할 수 없는 일을 한 그를 타박하고 싶었다. 허나 말이 나오지 않았다	말이 나오지 않았다	뒤늦게 미친듯이 밀려오는 서운함에 말을 잃고 눈물만 흘렸다.	눈물만 흘렸다.																	
가슴이 아프다	슬프다	서운하다	살 날이 남지 않은 그녀의 고백에 가슴이 아팠다.	가슴이 아팠다.	부모님이 늘 큰 형만 챙기는 모습은 내 가슴을 아프게 했다.	내 가슴을 아프게 했다.	서둘러 찾아간 술집. 그녀는 술을 마시고 있었다. 맞은 편엔 남자가 있었다. 가슴이 아팠다.	가슴이 아팠다.																	
따지다	슬프다	억울하다	도저히 참을 수 없었다. 나는 쌓여왔던 억울함을 분출하며 따지기 시작했다.	따지기 시작했다.	나는 그에게 따졌다. 왜 그런 선택을 했어야만 했는지.	따졌다.	억울한 마음에 판사님께 직접 항의했지만, 결국 달라지는 것은 아무것도 없었다.	항의했지만,																	
가슴이 답답하다	슬프다	억울하다	며칠이 지나도, 억울한 상황이 계속됐다. 가슴이 답답했다.	가슴이 답답했다.	억울함에 너무나도 가슴이 답답하지만 참아야 했다.	가슴이 답답하지만	해줄 수 있는 게 없다는 그의 말에 가슴이 더욱 답답해졌다.	가슴이 더욱 답답해졌다.																	
머리를 감싸쥐다	싫다	괴롭다	통증은 계속 됐다. 머리를 감싸쥐며 그는 괴로움을 느꼈다.	머리를 감싸쥐며	더 이상 그의 말을 듣기 싫었다. 머리를 감싸고 귀를 막고 나는 울었다.	머리를 감싸고	아무리 고민해도 뾰족한 수가 나오지 않았다. 나는 괴로워 머리를 감싸쥐었다.	머리를 감싸쥐었다.																	
머리가 지끈거리다	싫다	괴롭다	싫어도 참아야 하는 현실에, 머리가 지끈거렸다.	머리가 지끈거렸다.	머리가 지끈거린다. 휴식이 필요하다. 수업을 시작한지 10분이 지났을 때 그가 한 말이다.	머리가 지끈거린다.	문 앞까지 찾아온 대출 독촉에 머리가 심하게 지끈거린다.	머리가 심하게 지끈거린다.																	
한숨을 푹 쉬다	슬프다	아쉽다	불합격. 한숨을 푹 내쉬었다. 이제 딱 1곳 남았다.	한숨을 푹 내쉬었다.	후반전에 두 점을 내주며 역전 당한 상황에 아쉬워 한숨을 푹 쉬고 말았다.	한숨을 푹 쉬고	후배는 한숨을 쉬고 말을 이어갔다. 저는 어떤 상황이 와도 포기하지 않았는데, 어떻게 이런 결과가 나오나요.	한숨을 쉬고																	
가슴이 먹먹하다	슬프다	아쉽다	그녀의 눈물을 보니 덩달아 가슴이 먹먹해졌다.	가슴이 먹먹해졌다.	그의 아버지의 부고 소식은 가슴이 먹먹할 정도로 슬픈 소식이었다. 거의 내 친아버지 같은 분이셨다.	가슴이 먹먹할	떠나기 전 마지막을 함께하지 못했다니! 아쉬운 마음에 가슴이 먹먹했다.	가슴이 먹먹했다.																	
눈물을 흘리다	슬프다	실망하다	나는 그에게 버럭 소리를 질렀다. 그리고 눈물을 흘렸다.	눈물을 흘렸다.	예전에 둘이 나눴다고 생각한 약속은 나만 했나보다. 그에 대한 실망감에 눈물이 절로 흘렀다.	눈물이 절로 흘렀다.	계속되는 낙방에 스스로 한심한 마움에, 눈물을 흘렸다.	눈물을 흘렸다.																	
속이 허하다	슬프다	실망하다	예전과 달리 텅빈 그의 말에 속이 허해졌다.	속이 허해졌다.	뭘 위해 나는 살아갔을까. 버럭 버럭 대드는 자식을 보면서 속이 허한 느낌이 들었다.	속이 허한	어처구니 없는 그녀의 행동에 속이 허하면서도 슬펐다.	속이 허하면서도																	
옛 추억을 꺼내보다	슬프다	그립다	그녀의 꿈을 꿨다. 나는 슬픈 마음에 옛 추억을 꺼내보았다.	옛 추억을 꺼내보았다.	할머니는 나를 정말 사랑하셨다. 그리움에 할머니 사진을 꺼내보았다.	할머니 사진을 꺼내보았다.	동창들과 얘기하며, 함께 놀던 시절의 사진을 꺼내보았다.	사진을 꺼내보았다.																	
속이 허전하다	슬프다	그립다	이별 일주일 째, 미친듯이 그리운 감정에 속이 늘 허전했다.	속이 늘 허전했다.	여행을 왔지만, 집에 두고 온 강아지 생각에 속이 허전할 정도로 슬펐다.	속이 허전할 정도로	옛 연인이 그리운 날, 속이 허전했다. 그 속을 채우기 위한 술을 들이부었다.	속이 허전했다.																	
피식 비웃다	싫다	우습다	어디서 주어 들은 말을 자기 생각인 듯 떠드는 모습에, 나도 모르게 피식하고 비웃었다.	피식하고 비웃었다.	버스를 탄 주제에 저렇게 떠들다니, 비웃지 않을 수 었었다.	비웃지 않을 수 었었다.	겉만 번지르르 한 그의 말이 우스워서 피식 비웃었다.	피식 비웃었다.																	
입꼬리가 움찔움찔하다	싫다	우습다	늘 혁신을 떠드는 사장님의 말이 우스웠다. 입꼬리가 움찔했지만, 애써 비웃음을 참았다.	입꼬리가 움찔했지만,	어이없고 우스운 상황에 입꼬리가 움찔움찔했다. 나는 손으로 얼굴을 가렸다.	입꼬리가 움찔움찔했다.	나는 그녀의 멍청한 실수에 입꼬리가 움찔움찔했다.	입꼬리가 움찔움찔했다.																	
투덜거리다	싫다	귀찮다	나는 귀찮아서 투덜거리기 시작했다.	투덜거리기	상사의 지시에 그는 싫은 기색을 감추지 않고 투덜거렸다.	투덜거렸다.	어머니에 눈에는 집안일을 귀찮아하고 투덜거리는 그녀의 모습이 보였다.	투덜거리는																	
몸이 나른하다	싫다	귀찮다	그는 목요일만 되면, 몸이 나른하다고 느꼈다. 휴일이 다가오고 있음을 몸이 아는 듯 했다.	나른하다고	점심이 시간이 지나면, 꼭 몸이 나른해졌다. 나 말고 모두가 그런 듯 했다.	몸이 나른해졌다.	오늘도 헬스장에 가야 하는데, 몸은 움직이지 않았다. 계속 나른하게 누워있을 뿐이었다.	나른하게																	
혼자 있으려 하다	싫다	괴롭다	그녀는 괴로워서 혼자 있으려 했다. 이런 모습을 친구들에게 보일 순 었었다.	혼자 있으려 했다.	괴롭다. 혼자 있어야겠다. 누구든 건들면 화가 치밀어 오를 것 같다. 그 사람 잘못이 아니라도.	혼자 있어야겠다.	누군가는 싫은 감정을 나누며 극복한다. 허나 나는 싫은 감정이 나눠지지 않는다 생각한다. 그것이 내가 혼자 있는 이유다.	혼자 있는 이유다.																	
눈물이 주르륵 흐르다	싫다	괴롭다	괴로운 그때의 기억을 떠올린 듯 그녀는 눈물을 주르륵 흘렀다.	눈물을 주르륵 흘렀다.	터벅터벅 그의 발걸음이 멀어진 후, 그녀는 눈물이 주르륵 흘렀다.	눈물이 주르륵 흘렀다.	싫다고, 싫어. 내가 싫다고 몇 번을 말했는지는 알아? 그는 눈물을 주르륵 흘리며 말했다.	눈물을 주르륵 흘리며																	
