	예문 1	변형 단어 1	예문 2	변형 단어 2	예문 3	변형 단어 3	예문 4	변형 단어 4	예문 5	변형 단어 5	예문 6	변형 단어 6
가증스럽다	친밀하다가도 이내 냉담해지는 그의 이중적인 면모가 가증스러웠다.	가증스러웠다	그녀는 그의 가증스러운 태도에 경악했다.	가증스러운	가증스럽게 굴지 마. 역겨우니까.	가증스럽게	가증스러운 사람들을 마주하고 있으면 온몸에 벌레가 기어다니는 것 같다.	가증스러운	나를 곤경에 몰아놓고서는 이런 일도 있다며 가증스럽게 웃었다. 	가증스럽게	사람 좋은 척은 다 하는 그의 모습이 가증스러웠다. 	가증스러웠다
개탄하다	개국 공신 가문이라는 위대한 역사 뒤에 숨겨진 패악에 그녀는 개탄했다.	개탄했다	한데 모인 이기심에 개탄하니 나는 함께하지 않겠소.	개탄하니	그녀는 그제서야 보이는 눈 앞의 현실에 대해 개탄을 금치 못했다.	개탄	호기롭게 도전하였으나 개탄을 금치 못하며 떠나가는 사람이 반이었다. 	개탄	현자는 눈 앞의 상황에 개탄하여 침묵을 이어나갔다.	개탄하여	아들의 어리석은 잘못을 본 부모는 크게 개탄했다. 	개탄했다
괘씸하다	어떠한 의무 없이 권리만을 주장하는 그가 괘씸했다.	괘씸했다	그는 나의 식사 여부나 일상 따위를 누구보다도 궁금해했다. 괘씸한 침범이자 설렘이었다. 	괘씸한	괘씸하게도 노력의 결과는 나를 충족시키지 않았다.	괘씸하게도	예의라고는 없이 멋대로 구는 꼴이 괘씸했다.	괘씸했다	괘씸한 제자여도 어쩌겠어요. 제 첫 제자인데.	괘씸한	그토록 헌신하였으나 괘씸하게도 돌아오는 것은 없었다. 	괘씸하게도
비탄하다	생전에 저지른 자신의 만행에 그는 비탄에 잠겼다.	비탄에 잠겼다.	그 용사는 조용히 검을 바닥에 내려놓고 비탄하는 유가족을 위로했다.	비탄하는	제 몸처럼 여겼던 연인의 부재에 비탄하며 무너졌다. 	비탄하며	자신의 한계에 비탄하며 절망했다.	비탄하며	깊은 비탄에 잠겨 눈물만이 흘렀다.	비탄	비탄하는 목소리 뒤에 깔린 얕은 위로가 든든했다.	비탄하는
비통하다	역사가 나를 날조할지라도, 비통하여 기록한다. 나는 나만의 방식으로 내 나라를 위했다.	비통하여	황제는 비통한 목소리로 제 2황자의 죽음을 알렸다. 	비통한	비통한 얼굴이 거울 속에 자리잡고 있었다.	비통한	용사는 자신의 운명을 비통하게 받아들여야만 했다.	비통하게	제 나라에게조차 환영받지 못하는 비통한 처지라니.	비통한	내 비통함을 잊지 말아주세요	비통함
뼈아프다	당신이 나에게 준 것들이 사랑이 아니었다는 것을 뼈아프게 알았다.	뼈아프게	차마 꺼내기도 조심스러운 뼈아픈 후회를 마지막으로 남긴다. 	뼈아픈	그렇게 뼈아픈 사랑이 끝났다.	뼈아픈	여러 번 실패를 거듭하고서야 나의 부족함을 뼈아프게 알았다.	뼈아프게	내 절절하고도 뼈아픈 그리움의 대상은 나의 과거일 뿐이었다.	뼈아픈	뼈아픈 마음을 뒤로 하고 길을 나섰다.	뼈아픈
밉다	나에게 희망만을 심어주고 사라진 당신이 미워.	미워	미운 오리도 가족은 있었을텐데.	미운	아무리 표독스럽고 밉게 굴어도 미워할 수 없는 사람이 있어요	밉게	그저 미운 사람이 당신도 있지 않나요?	미운	강렬하게 미운 마음을 가지고 있다간 모든 걸 미워하게 될 거예요.	미운	평소와 같은 다정한 행동도 밉게 보였다.	밉게
원통하다	무엇보다도 그 자리에서 말문이 막혀 서 있는게 고작이었던 것이 가장 원통했다.	원통했다	내 친구는 헛소문에 질식해 죽었다. 이토록 원통한 죽음이 있을까.	원통한	당신은 나에게 원통함이라는 진득한 감정만 줬어요.	원통함	당신의 어리석음이 나라를 망치지 않았으면 하는 원통한 마음으로 간언합니다.	원통한	돈이 모자라 빈손으로 돌아가는 것이 원통한 모양이었다.	원통한	생전에는 고민할 시간도 없었어요, 하며 웃는 모습조차 원통하게 보였다.	원통하게
애통하다	애통하게도 그게 내가 15살 때 겪은 비극이었어.	애통하게	아무리 칭송하는 영웅이었다 한들, 그의 사망은 애통한 일입니다. 	애통한	당신 떠나는 길에 애통하는 이 하나 없음을 억울해하지 말아 	애통하는	애통한 마음을 눌러담아 글을 적기 시작했다.	애통한	애통하는 마음을 안고서 살아가야만 했다. 	애통하는	자만에 빠진 그에게는 애통하게도 자신의 말만 들리는 듯 했다.	애통하게도
역겹다	이익만을 좇아 누군가를 폄하하는 인간은 역겹다. 	역겹다	어디서 역겨운 냄새 나지 않아요? 비천한 출신은 감춰도, 냄새는 감추기 힘들죠. 	역겨운	내가 있을 만한 곳이 아니야, 스스로가 역겹게 느껴질 때 쯤에서야 자리에서 일어났다.	역겹게	자신을 상품처럼 대하는 것이 몹시도 역겨웠다.	역겨웠다	역겨운 눈초리가 그에게로 향했다.	역겨운	평소와 같은 태도도 한층 더 역겹게 느껴졌다.	역겹게
열등감	뭐든 쉬웠을 그 애를 보면 나는 일종의, 무력감, 아니, 열등감을 느꼈다. 	열등감을 느꼈다.	민하는 수영선수였다. 내 친구는 물에 빠지지 않았다, 깊은 열등감에 빠져 익사했다. 	열등감에 빠져	질투나서 미치겠어요, 돌아버리겠다고요! 열등감이든 뭐든 나를 사로잡았음은 분명합니다. 그리고 전 뭐든 놓을 생각이 없어요.	열등감	똘똘뭉쳐 단단해진 열등감이 속내에 자리잡고 있었다. 	열등감	열등감에 사로잡혀 주변의 조언을 도무지 듣지 않았다.	열등감	적당한 열등감은 때로는 변화의 시작이 되기도 한다.	열등감
